Price,Close,High,Low,Open,Volume,50_DMA,200_DMA,12_EMA,26_EMA,MACD,Signal,RSI
Ticker,META,META,META,META,META,,,,,,,
Date,,,,,,,,,,,,
2024-09-25,567.34716796875,575.9026560047768,562.764917527023,563.0943755026146,16543400,510.08713684082034,,545.5251368375691,531.52888205006,13.996254787509088,9.348741394926112,79.11287868611578
2024-09-26,566.8779907226562,576.421791707134,561.3972407130617,574.7545771548597,14400800,512.2093420410156,,548.8101912814286,534.1473345443264,14.662856737102175,10.411564463361325,96.54057806175359
2024-09-27,566.3988037109375,569.8729495717097,563.5536563544842,569.1341520453253,9398400,514.0454962158203,,551.5161316551992,536.5363322603716,14.979799394827523,11.325211449654564,95.64348758222235
2024-09-30,571.47021484375,573.706410244188,563.8431433708773,566.7382547675098,12792300,515.9643280029297,,554.5859906072839,539.1240272665478,15.46196334073602,12.152561827870855,95.94195585260896
2024-10-01,575.4933471679688,582.052223949219,569.1341437441329,577.0007987585797,15259300,517.7519848632812,,557.8025070012354,541.8180509629494,15.984456038285998,12.918940669953884,95.7706531486145
2024-10-02,571.839599609375,575.0241978646806,568.3755073868431,573.8861145161185,6524700,519.440834350586,,559.96205971018,544.0418693812032,15.920190328976787,13.519190601758465,89.07604178141868
2024-10-03,581.78271484375,582.3716811685491,567.7664618304881,569.1840999965109,11581000,521.8754962158204,,563.3190835768831,546.8374875636141,16.48159601326904,14.111671684060582,91.87506111274078
2024-10-04,594.930419921875,595.8388514800449,580.4449915774629,582.7410829589448,14169500,524.7298956298828,,568.1823660914973,550.3999269975593,17.782439093938024,14.845825166036072,92.31510505263367
2024-10-07,583.7893676757812,601.9285692599291,583.0505701091017,597.2065408042621,12014200,527.116323852539,,570.5834432583102,552.8732188996498,17.710224358660412,15.418705004560941,79.49137722545719
2024-10-08,591.8855590820312,592.5544069282686,584.9772388569517,588.6909682347708,7857400,529.6644769287109,,573.860691846575,555.7630218761226,18.097669970452444,15.954497997739242,80.99062567465691
2024-10-09,589.5095825195312,593.383013995398,580.6246363035814,592.9836672926635,9529700,532.2153765869141,,576.2682134885683,558.2627671089678,18.005446379600585,16.36468767411151,72.47754428795814
2024-10-10,582.8408813476562,589.2300017888213,581.5331032114448,586.5745352205768,7740400,534.400718383789,,577.2793931591973,560.0833681636853,17.196024995511948,16.5309551383916,65.12790636437845
2024-10-11,588.9505615234375,590.2084366715601,581.722836757389,583.8392403320302,8587100,536.2512664794922,,579.0749575229265,562.2216787829263,16.853278740000178,16.595419858713317,66.50731240837263
2024-10-14,589.419677734375,599.0832703101336,588.9604960748801,593.21322748736,8252000,538.3026879882813,,580.6664529400724,564.2363453719225,16.43010756814988,16.562357400600632,67.64820920597418
2024-10-15,585.2767944335938,589.609407732317,579.1571746540536,589.1601579101996,9564200,540.5187951660156,,581.375736246768,565.7948971542686,15.580839092499446,16.366053738980398,61.82832284151298
2024-10-16,575.8128051757812,581.0938820809059,573.0575322321221,580.4150414195622,11268400,542.1793951416016,,580.5199006973854,566.5369644151214,13.982936282264063,15.889430247637133,55.26904570623959
2024-10-17,575.9525756835938,583.9789326282403,574.2255260943747,582.3417573737693,8701200,543.9459161376953,,579.8172353106482,567.2344171016749,12.582818208973322,15.228107839904371,55.65670283635606
2024-10-18,575.4933471679688,582.9806410828543,574.2754432717226,580.1155081526317,7694300,545.2901489257813,,579.152021750236,567.8461896991782,11.305832051057791,14.443652682135056,52.519676912550025
2024-10-21,574.1856079101562,576.2621012910602,568.1458692618588,575.0541901204554,8171900,546.4458569335937,,578.3879580825314,568.3157762333248,10.072181849206686,13.569358515549384,49.152127871748355
2024-10-22,581.0239868164062,582.5414311786456,571.150727517959,573.3170341117068,8544500,547.7746374511719,,578.793500964666,569.2571251654049,9.536375799261123,12.762761972291733,55.7185452837402
2024-10-23,562.7350463867188,584.0089423449544,561.5470599470716,578.9874344994295,14248400,548.4865051269531,,576.3229694911356,568.7740082188355,7.548961272300062,11.7200018322934,39.2567357760885
2024-10-24,566.818115234375,567.9162272782188,560.568710969321,566.1691920700792,7184700,549.3155383300781,,574.8606842208648,568.6291272570237,6.231556963841058,10.622312858602932,32.3381260756061
2024-10-25,572.27880859375,580.3051654129531,570.7513714491723,572.9576492363118,11337900,550.0429455566406,,574.463472585924,568.8994740227072,5.563998563216842,9.610649999525714,42.21253021640188
2024-10-28,577.1804809570312,582.7610374446309,573.147347275715,581.0140022146043,10925100,551.0660632324219,,574.8814738737867,569.5128819437683,5.368591930018397,8.76223838562425,39.60181612588583
2024-10-29,592.2749633789062,592.6642563781992,574.4252487176307,579.1672018209299,13019100,552.3539672851563,,577.5573953361128,571.1989620500748,6.358433286038007,8.281477365707003,51.657338922663854
2024-10-30,590.79736328125,600.18146222204,588.3814802937598,599.961803260404,26864900,553.6631860351563,,579.5943134815185,572.6506954746062,6.943618006912288,8.01390549394806,55.08484294829538
2024-10-31,566.6184692382812,588.9006638234266,562.0562040483729,584.0089406317576,26838400,554.3206726074219,,577.5980297517897,572.2038639015451,5.394165850244576,7.489957565207364,38.40571397788812
2024-11-01,566.1990966796875,572.6980772551971,561.6069143240354,566.6483464807679,15303200,555.03419921875,,575.844347740697,571.7590663295557,4.085281411141295,6.809022334394151,37.93820185533934
2024-11-04,559.7301635742188,567.7266038519388,556.9449119547328,563.144352806453,12064600,555.6967395019532,,573.3652424843157,570.8680364958271,2.497205988488531,5.946659065213027,37.04305402493839
